Code département;Nom de la commune;Population totale
Saint-Quentin;02;55 940
Antibes;06;74 982
Cagnes-sur-Mer;06;50 385
Cannes;06;75 046
Grasse;06;51 705
Nice;06;345 998
Troyes;10;61 988
Narbonne;11;55 001
Aix-en-Provence;13;146 385
Arles;13;53 807
Marseille;13;870 018
Caen;14;108 461
La Rochelle;17;78 623
Bourges;18;67 841
Ajaccio;2A;70 063
Dijon;21;159 031
Besançon;25;120 107
Valence;26;64 322
Évreux;27;51 560
Brest;29;142 629
Quimper;29;66 743
Nîmes;30;154 196
Toulouse;31;482 738
Bordeaux;33;256 045
Mérignac;33;71 203
Pessac;33;62 737
Béziers;34;77 894
Montpellier;34;286 098
Rennes;35;222 104
Tours;37;139 963
Grenoble;38;160 836
Saint-Étienne;42;174 298
Nantes;44;314 611
Saint-Nazaire;44;72 295
Orléans;45;118 102
Angers;49;155 543
Cholet;49;55 772
Cherbourg-en-Cotentin;50;82 578
Reims;51;187 074
Laval;53;52 359
Nancy;54;106 953
Lorient;56;58 789
Vannes;56;55 573
Metz;57;119 856
Dunkerque;59;89 485
Lille;59;236 782
Roubaix;59;96 953
Tourcoing;59;98 170
Villeneuve-d'Ascq;59;63 085
Beauvais;60;57 548
Calais;62;75 719
Clermont-Ferrand;63;146 112
Bayonne;64;51 943
Pau;64;79 022
Perpignan;66;123 602
Strasbourg;67;283 515
Colmar;68;71 445
Mulhouse;68;110 468
Lyon 3e Arrondissement;69;103 506
Lyon 6e Arrondissement;69;52 282
Lyon 7e Arrondissement;69;82 651
Lyon 8e Arrondissement;69;85 610
Lyon 9e Arrondissement;69;51 313
Vénissieux;69;65 822
Villeurbanne;69;150 375
Le Mans;72;146 804
Chambéry;73;60 872
Annecy;74;130 257
Paris;75;2 210 875
Le Havre;76;172 769
Rouen;76;112 596
Chelles;77;54 682
Meaux;77;56 249
Sartrouville;78;53 237
Versailles;78;87 315
Niort;79;61 044
Amiens;80;136 998
Albi;81;51 151
Montauban;82;61 978
Fréjus;83;54 023
Hyères;83;56 799
La Seyne-sur-Mer;83;65 386
Toulon;83;171 643
Avignon;84;94 200
La Roche-sur-Yon;85;56 991
Poitiers;86;90 590
Limoges;87;135 140
Corbeil-Essonnes;91;51 682
Évry;91;55 425
Massy;91;50 549
Antony;92;62 989
Asnières-sur-Seine;92;86 678
Boulogne-Billancourt;92;120 943
Clamart;92;53 099
Clichy;92;60 746
Colombes;92;86 050
Courbevoie;92;82 351
Issy-les-Moulineaux;92;69 231
Levallois-Perret;92;64 028
Nanterre;92;96 321
Neuilly-sur-Seine;92;61 501
Rueil-Malmaison;92;79 783
Aubervilliers;93;86 533
Aulnay-sous-Bois;93;85 214
Le Blanc-Mesnil;93;56 346
Bobigny;93;52 633
Bondy;93;53 416
Drancy;93;70 883
Épinay-sur-Seine;93;55 754
Montreuil;93;109 235
Noisy-le-Grand;93;67 086
Pantin;93;55 585
Saint-Denis;93;112 309
Sevran;93;50 888
Champigny-sur-Marne;94;77 883
Créteil;94;90 052
Fontenay-sous-Bois;94;53 968
Ivry-sur-Seine;94;61 099
Maisons-Alfort;94;55 816
Saint-Maur-des-Fossés;94;75 833
Villejuif;94;55 805
Vincennes;94;50 300
Vitry-sur-Seine;94;93 317
Argenteuil;95;112 064
Cergy;95;64 451
Sarcelles;95;58 332
Les Abymes;971;54 818
Fort-de-France;972;82 030
Cayenne;973;60 947
Saint-André;974;56 088
Saint-Denis;974;149 337
Saint-Louis;974;53 832
Saint-Paul;974;106 920
Saint-Pierre;974;85 059
Le Tampon;974;78 366
